id,weight
Anne,877.000000
Anouk,631.000000
Bas,641.000000
Bram,499.000000
Charlotte,429.000000
Cornelis,504.000000
Daan,460.000000
Daniël,602.000000
David,397.000000
Eline,515.000000
Eva,515.000000
Femke,286.000000
Ilse,362.000000
Iris,1059.000000
Jan,779.000000
Jasper,564.000000
Jelle,420.000000
Johanna,707.000000
Johannes,965.000000
Koen,589.000000
Lars,457.000000
Lieke,258.000000
Lisa,1058.000000
Lotte,473.000000
Maria,868.000000
Merel,284.000000
Mohamed,266.000000
Naomi,391.000000
Nick,899.000000
Niels,706.000000
Nikki,278.000000
Pieter,486.000000
Robin,1156.000000
Ruben,583.000000
Sanne,775.000000
Sophie,313.000000
Sven,338.000000
Tessa,533.000000
Thijs,386.000000
Thomas,1088.000000
Tim,949.000000
Tom,825.000000
Willem,515.000000
Emma,305.000000
Joris,343.000000
Nina,281.000000
Amber,366.000000
Jesse,345.000000
Luuk,332.000000
Max,467.000000
Sarah,264.000000
Vera,342.000000
Fleur,256.000000
Lucas,216.000000
Dylan,679.000000
Julia,235.000000
Stijn,265.000000
Floris,223.000000
Gijs,204.000000
Maud,199.000000
Roos,186.000000
