id,weight
Albania,3.071856
Armenia,3.076098
Austria,8.004712
Azerbaijan,8.110723
Belgium,10.175684
Bulgaria,8.006158
Bosnia and Herzegovina,3.693698
Belarus,10.057810
Switzerland,7.167908
Cyprus,0.693600
Czech Republic,10.242890
Germany,82.349027
Denmark,5.339501
Spain,40.288457
Estonia,1.370749
Finland,5.173370
France,60.764325
United Kingdom,58.874117
Georgia,4.745765
Greece,10.986883
Croatia,4.505533
Hungary,10.210545
Ireland,3.803780
Iceland,0.281210
Italy,56.986329
Kazakhstan,14.956694
Lithuania,3.500028
Luxembourg,0.435491
Latvia,2.384972
Malta,0.397420
Montenegro,0.632606
Netherlands,15.862825
Norway,4.490859
Poland,38.302444
Portugal,10.336209
Romania,22.191683
Russian Federation,146.757517
Serbia,7.516346
Slovakia,5.404845
Slovenia,1.985406
Sweden,8.860153
Turkey,63.627862
Ukraine,48.891792
