id,weight
Ned1,19.100000
Ned2,6.500000
Ned3,6.400000
RTL4,15.500000
RTL5,4.100000
RTL7,4.800000
RTL8,1.800000
RTL Crime,0.000000
RTL Lounge,0.000000
RTL Z,0.000000
Yorin,0.000000
SBS6,9.100000
Net5,3.300000
Veronica,3.400000
SBS 9,0.000000
Tien,0.000000
Talpa,0.000000
MTF,0.700000
TMF,0.100000
Kindernet,0.200000
Comedy,1.200000
The Box,0.000000
Nickolodeon,1.800000
Spike,0.000000
TeenNick,0.200000
Jetix,0.000000
FoxKids,0.000000
Disney XD,1.400000
Disney channel,0.400000
Discovery channel,1.500000
National Geographic channel,1.200000
Animal planet,0.600000
TLC,0.200000
ID,0.000000
24Kitchen,0.000000
Fox,0.000000
Fox Sports *,0.000000
Eurosport,0.900000
AT5,0.100000
Regionale zenders,1.700000
Video,0.200000
DVD,2.100000
HD,2.700000
Overige zenders,8.700000
